category_name	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
Cell motility	Neuropatías perifericas	6	47	0.127659574468085	5.98247909160465e-07	ACTB,EGF,EGFR,PIK3R1,PIK3R2,PIP5K1C	3.48734756803295e-06
Cellular community - eukaryotes	Neuropatías perifericas	9	47	0.191489361702128	0.000157263092830423	ACTB,EGF,EGFR,ITPR1,MYH2,PDPK1,PIK3R1,PIK3R2,PIP5K1C	0.000683379621572202
Endocrine system	Neuropatías perifericas	8	47	0.170212765957447	0.00323994738454402	EGFR,ITPR1,PDPK1,PIK3R1,PIK3R2,PRKAR1A,PRKAR1B,PYGL	0.0119130373062465
Biosynthesis of other secondary metabolites	Neurodegeneracion	2	40	0.05	0.00728071618322763	AADAC,CYP2A6	0.0248584452541629
Cellular community - eukaryotes	Neurodegeneracion	9	40	0.225	1.22657960150977e-06	ACTB,ADCY3,GNAI3,GUCY2C,MAPK10,MYH2,NPR2,PTEN,TGFBR1	6.66255738092807e-06
Immune system	Neurodegeneracion	6	40	0.15	0.000327517262723261	ACTB,CBLB,CD36,GNAI3,KIR2DL3,MAPK10	0.00134959699639413
Nervous system	Neurodegeneracion	4	40	0.1	7.53086137305762e-19	ADCY3,GNAI3,GUCY2C,NPR2	1.05875051068281e-17
Sensory system	Neurodegeneracion	1	40	0.025	7.04737315085533e-30	ADCY3	2.10540272881803e-28
Endocrine system	Neurodegeneracion	7	40	0.175	5.89518028819467e-12	ADCY3,CBLB,CD36,GNAI3,LEPR,MAPK10,PRKAR1B	5.87061703699386e-11
Signal transduction	Neurodegeneracion	10	40	0.25	5.31962156048882e-24	ADCY3,CBLB,CSH1,GH2,LEPR,LIFR,MAPK10,PTEN,RASA1,TGFBR1	1.15580868450621e-22
Nucleotide metabolism	Neurodegeneracion	5	40	0.125	4.88112340199219e-19	ADCY3,DPYD,ENPP1,GUCY2C,NPR2	7.29117808172583e-18
Replication and repair	Neurodegeneracion	3	40	0.075	0.000445981292120194	CCNH,DCLRE1C,DDB2	0.00180660218333435
Metabolism of other amino acids	Neurodegeneracion	3	40	0.075	0.000560151439944871	DPYD,GSTM1,GSTT1	0.00223126990244707
Development and regeneration	Neurodegeneracion	2	40	0.05	5.90700884476457e-05	GNAI3,RASA1	0.000261439835907173
Membrane transport	Malformaciones y Sind polimalformativos	2	46	0.0434782608695652	6.19456600041909e-29	ABCC1,ABCC6	1.64500141566685e-27
Cell growth and death	Malformaciones y Sind polimalformativos	6	46	0.130434782608696	4.54275477470119e-06	ATM,CDKN1A,PPP3CA,PRKAR1A,TGFB3,TNFRSF10B	2.31003913011401e-05
Signal transduction	Malformaciones y Sind polimalformativos	12	46	0.260869565217391	2.10283480782045e-08	CACNA1C,CDKN1A,CRKL,CSH1,GH1,GH2,MAP2K1,NOS3,PI4KA,PPP3CA,TGFB3,THBS2	1.46433590675072e-07
Nervous system	Malformaciones y Sind polimalformativos	5	46	0.108695652173913	3.68215589096251e-17	CACNA1C,LYN,MAP2K1,NOS3,PPP3CA	4.63176451547389e-16
Cellular community - eukaryotes	Malformaciones y Sind polimalformativos	8	46	0.173913043478261	1.15700018061076e-05	COL2A1,CRKL,MAP2K1,MET,MYH11,MYH2,MYH8,THBS2	5.64332741155044e-05
Translation	Malformaciones y Sind polimalformativos	1	46	0.0217391304347826	1.37858840206852e-22	KARS	2.53448175457213e-21
Signal transduction	Malformacion Ocular	10	35	0.285714285714286	0.00205989967886994	ACVR1C,AKT3,GH2,IL1R1,JAK2,MTTP,PIK3CA,PTEN,RASA1,TGFBR1	0.00794058102015993
Immune system	Malformacion Ocular	5	35	0.142857142857143	0.00627368812893482	AKT3,IL1R1,OCLN,PHF11,PIK3CA	0.022050168570815
Cell growth and death	Malformacion Ocular	6	35	0.171428571428571	5.34777167174006e-17	AKT3,CCNH,IL1R1,MTTP,PIK3CA,PTEN	6.39058714772937e-16
Amino acid metabolism	Malformacion Ocular	5	35	0.142857142857143	0.00531395568931116	ALDH7A1,BCAT2,DLD,HSD17B4,PLOD2	0.0189557523842592
Carbohydrate metabolism	Malformacion Ocular	11	35	0.314285714285714	1.07044038844841e-09	ALDH7A1,ASCC3,DLD,GALT,HSD17B4,MLYCD,MTMR2,PIK3CA,PTEN,UGT2B17,UGT2B7	8.52784176130567e-09
Metabolism of terpenoids and polyketides	Malformacion Ocular	3	35	0.0857142857142857	1.09641391169399e-42	ALDH7A1,CYP2C19,HSD17B4	5.24085849789727e-41
Lipid metabolism	Malformacion Ocular	4	35	0.114285714285714	1.16574670670402e-11	ALDH7A1,CYP2C18,CYP2C19,HSD17B4	1.11445385160904e-10
Metabolism of cofactors and vitamins	Malformacion Ocular	8	35	0.228571428571429	5.64412955248823e-09	ASCC3,BCAT2,CYP2C18,CYP2C19,DPYD,MTMR2,UGT2B17,UGT2B7	4.21545925951465e-08
Metabolism of cofactors and vitamins	Distrofias Corneales	8	31	0.258064516129032	4.62805158541911e-44	ASCC3,CYP2B6,UGT1A10,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9	2.76526082228792e-42
Carbohydrate metabolism	Distrofias Corneales	9	31	0.290322580645161	4.6553460429127e-35	ASCC3,GBA,PTEN,UGT1A10,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9	1.85437950709356e-33
Xenobiotics biodegradation and metabolism	Distrofias Corneales	11	31	0.354838709677419	1.85185454702411e-15	CYP2B6,CYP2D6,CYP2F1,GSTM1,GSTT1,UGT1A10,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9	2.10758684161315e-14
Carbohydrate metabolism	Hipoacusias	14	62	0.225806451612903	2.61477535912922e-19	ACACA,ACO2,AKR1B1,PIK3CA,PIP5K1C,PLCE1,UGT1A10,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2B7	4.4637950773706e-18
Energy metabolism	Hipoacusias	2	62	0.032258064516129	8.3976688334995e-10	ACO2,CPS1	6.92083741795304e-09
Nucleotide metabolism	Hipoacusias	4	62	0.0645161290322581	8.49568641195988e-18	AK7,POLR3H,TYMP,TYMS	1.1280383624769e-16
Xenobiotics biodegradation and metabolism	Hipoacusias	17	62	0.274193548387097	6.29508883707116e-10	CES1,CYP2A6,CYP2C8,CYP2D6,CYP2F1,CYP3A5,FMO5,GSTT1,TYMP,UGT1A10,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2B7	5.37330797164288e-09
Metabolism of cofactors and vitamins	Hipoacusias	12	62	0.193548387096774	1.38396425065873e-23	CYP2A6,CYP2C8,CYP3A5,TYMS,UGT1A10,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2B7	2.7563954658953e-22
Transcription	Hipoacusias	2	62	0.032258064516129	2.1514830219695e-10	GTF2I,POLR3H	1.90446089722485e-09
Endocrine system	Nefropatias	5	34	0.147058823529412	5.51874239636736e-75	ACACA,CACNA1C,CYP4A22,PDPK1,SOS1	1.3189794327318e-72
Carbohydrate metabolism	Nefropatias	6	34	0.176470588235294	3.6370314288328e-12	ACACA,ADH4,ALDH7A1,PIKFYVE,UGT2B17,UGT2B7	3.77935004996104e-11
Lipid metabolism	Nefropatias	5	34	0.147058823529412	1.18025261098944e-55	ACACA,ADH4,ALDH7A1,CYP4A22,LIPA	1.41040187013238e-53
Cellular community - eukaryotes	Nefropatias	8	34	0.235294117647059	2.14442496804499e-08	COL4A1,COL4A4,CTNNA3,KDR,OCLN,PDPK1,SOS1,TGFBR1	1.46433590675072e-07
Signaling molecules and interaction	Nefropatias	9	34	0.264705882352941	3.45726203119476e-05	COL4A1,COL4A4,GH1,KDR,OCLN,PCDHA4,PCDHA6,PTPRC,TGFBR1	0.000158901081818375
Sensory system	Nefropatias	1	34	0.0294117647058824	0.00847148282576519	TAS2R46	0.0285166816247589
