ID	name	disease	gene_count	gene_total	gene_ratio	p_value	genes	p_adjust
HP:0002908	Conjugated hyperbilirubinemia	Distrofia de Retina	10	926	0.0107991360691145	1.44318254504653e-24	ABCB11,ABCC2,ATP8B1,MMEL1,NR1H4,SLC17A5,SLC2A1,SLCO1B1,SLCO1B3,VPS33B	6.58116504130628e-24
HP:0012420	Meconium stained amniotic fluid	Distrofia de Retina	5	926	0.00539956803455724	3.74571492591516e-43	ABCB11,ABCB4,ALDH7A1,ATP8B1,NR1H4	2.32323509095452e-42
HP:0001928	Abnormality of coagulation	Distrofia de Retina	14	926	0.0151187904967603	3.12154761040569e-43	ABCC2,GALT,IDH2,KRAS,LYST,NPM1,PEX11B,PEX3,PEX5,PEX6,RFT1,RRAS2,SOS1,WRAP53	1.94188215524939e-42
HP:0002652	Skeletal dysplasia	Distrofia de Retina	50	926	0.0539956803455724	8.7454740956473e-273	ABCC9,ALG6,ANKH,CDH3,COL11A1,COL2A1,COL3A1,COL9A1,COL9A2,COL9A3,CTSA,DCC,DDR2,DPYD,DYNC2H1,DYNC2LI1,EIF2AK3,ENPP1,EPCAM,FN1,GLB1,GNAS,IDUA,IFT140,IFT172,IFT80,KIF22,KRAS,LBR,LEMD3,LIFR,LTBP3,MATN3,MMP13,NMNAT1,NOTCH2,NPR2,PEX11B,PEX3,PEX5,PEX6,PTEN,RECQL4,RUNX2,SEC23A,TMEM67,TRIP11,TTC21B,WDR11,WDR35	2.4300757353772e-271
HP:0003645	Prolonged partial thromboplastin time	Distrofia de Retina	9	926	0.00971922246220302	7.13925004362437e-80	ABCD3,DPM1,F10,F12,F5,GATA6,LMAN1,PMM2,SOS1	6.14801532682363e-79
HP:0001941	Acidosis	Distrofia de Retina	63	926	0.0680345572354212	0.00147470561305431	ABCD4,ACADVL,ACAT1,ALDH7A1,ARG1,BCKDHB,CACNA1S,CAMKMT,COX15,CUL3,DLAT,DLD,EIF2AK3,ELAC2,ETFA,FASTKD2,GALT,GCDH,GFM1,GYS2,HADH,HADHA,HIBCH,IDH2,ISCU,ITGA3,LIAS,LMBRD1,LRPPRC,MMAA,MMUT,MTO1,MYO5B,NARS2,NDUFAF1,NFU1,NR3C2,NUBPL,PCCA,PDHB,PDHX,PDSS2,PNPT1,POLG,POLG2,PREPL,PTPN22,RARS2,RYR1,SCNN1A,SCNN1G,SLC25A15,SLC25A19,SLC3A1,SLC4A4,SLC5A1,SLC7A7,SOD1,SUCLA2,TRMU,TSFM,UMPS,WDR35	0.00365432401617739
HP:0012531	Pain	Distrofia de Retina	34	926	0.0367170626349892	0	ACADVL,BSCL2,CFH,CFI,CHEK2,COL17A1,COL2A1,COL7A1,COL9A1,COL9A2,COL9A3,ERBB4,FIG4,FLVCR1,GJB6,GLE1,HMBS,LEMD3,MATN3,MME,MMP1,NEK1,NF1,PKD1,PON3,PRPH,RASA1,RB1,SCN9A,SLCO2A1,SOD1,TAF15,TBK1,TRPA1	0
HP:0003075	Hypoproteinemia	Distrofia de Retina	7	926	0.00755939524838013	4.95004120817132e-52	ACADVL,CD55,DCLRE1C,LYST,NPHS1,TMPRSS15,UBR1	3.40458279796338e-51
HP:0003394	Muscle spasm	Distrofia de Retina	44	926	0.0475161987041037	3.92291423484107e-09	ACADVL,ALDH4A1,AMPD1,BSCL2,CACNA1S,CLCNKB,COL1A1,COL4A1,COL5A1,COL5A2,CRPPA,DLD,ERBB4,FIG4,FKTN,FLVCR1,GBA,GIGYF2,GLE1,GNAS,HADHA,HINT1,ISCU,LAMA2,LPIN1,LRRK2,MYH7,NEK1,PFKM,POLG,POLG2,PON3,PRKN,PRPH,PYGM,RYR1,SMN1,SMN2,SOD1,TAF15,TBK1,TRPM6,TRPM7,VPS35	1.23122790141699e-08
HP:0010566	Hamartoma	Distrofia de Retina	9	926	0.00971922246220302	9.44427823105413e-97	ACVR1,APC,CDC73,COL18A1,CPLANE1,DYNC2LI1,IDH2,PTEN,TFAP2A	9.2839036950551e-96
HP:0003010	Prolonged bleeding time	Distrofia de Retina	18	926	0.019438444924406	6.63960866701381e-100	ADAMTS2,ADAMTSL2,AGGF1,AP3B1,CD36,COL1A1,COL5A1,COL5A2,F5,ITGB3,JAK2,MPL,NBEAL2,NF1,PLEC,SH2B3,SLC35A1,VWF	6.88405197117253e-99
HP:0001788	Premature rupture of membranes	Distrofia de Retina	6	926	0.00647948164146868	1.29857347108799e-08	ADAMTS2,ATP6V0A2,COL1A1,COL5A1,COL5A2,PLOD1	3.97974575551084e-08
HP:0100699	Scarring	Distrofia de Retina	8	926	0.00863930885529158	1.48184884407214e-52	ADAMTS2,ADAMTSL2,COL1A1,COL1A2,ERCC8,NPPA,PKP1,PPOX	1.02597109337088e-51
HP:0000359	Abnormality of the inner ear	Distrofia de Retina	4	926	0.00431965442764579	5.39303486357267e-305	ADGRV1,MYO7A,TP63,USH2A	1.84247289437466e-303
HP:0002270	Abnormality of the autonomic nervous system	Distrofia de Retina	24	926	0.0259179265658747	8.81896317933942e-37	ADH1C,AKAP9,ANK2,CACNA1A,CACNA1C,DISP1,GBA,KCNQ1,LIFR,LRRK2,PPOX,PRKN,PTCH1,RELN,RET,SCN3A,SCN9A,SNCAIP,STIL,TBP,TCF4,TGIF1,TRDN,VPS13A	4.98068272784373e-36
HP:0100790	Hernia	Distrofia de Retina	12	926	0.0129589632829374	1.36955600834697e-07	AGA,ARFGEF2,CBS,COL5A2,FUCA1,HGSNAT,IDUA,PIK3CA,SMARCA2,SMARCA4,TMCO1,TMTC3	4.07736388770726e-07
HP:0000943	Dysostosis multiplex	Distrofia de Retina	11	926	0.0118790496760259	1.092595713401e-34	AGA,CTSA,FUCA1,GLB1,GNPTAB,GNPTG,GUSB,HGSNAT,IDUA,KRAS,SUMF1	5.96065305426095e-34
HP:0002659	Increased susceptibility to fractures	Distrofia de Retina	49	926	0.0529157667386609	4.93926275973727e-95	AGA,ALPL,ANO5,ANTXR2,ASXL1,ATP7B,BRAF,CBS,CDKN1A,CHEK2,CLTCL1,COL1A1,COL1A2,COL2A1,DCC,ELP1,FN1,GBA,GLE1,GNAS,GNPTAB,HABP2,HBB,IDH2,KRAS,LBR,LEMD3,LIFR,LRP5,LTBP1,MTAP,NEB,NOTCH2,NPM1,PDE11A,PLOD2,PRKAR1A,PTEN,RB1,RECQL4,RETREG1,RUNX2,SCN9A,SLC7A7,SNX10,TNFRSF11A,TRIP11,WDR11,WRAP53	4.78763887967092e-94
HP:0004936	Venous thrombosis	Distrofia de Retina	28	926	0.0302375809935205	5.25138145797515e-06	AGGF1,ALG6,CBS,CD55,CFTR,CTRC,EPOR,F13A1,F5,FGB,FGG,HABP2,HBB,IDH2,IFNGR1,IL10,IL23R,JAK2,KIF11,MEFV,MET,MPL,MTRR,PMM2,PRKAR1A,PTEN,PTPN22,SH2B3	1.47293121916827e-05
HP:0002624	Abnormal venous morphology	Distrofia de Retina	17	926	0.0183585313174946	2.93871203426695e-59	AGGF1,ATP6V0A2,BSCL2,CD55,CLCNKB,COL3A1,F5,GBA,GLMN,JAK2,JMJD1C,MPL,PIK3CA,PLOD1,PTEN,RASA1,TCF4	2.11181926876287e-58
HP:0001507	Growth abnormality	Distrofia de Retina	17	926	0.0183585313174946	7.59581504323638e-10	AGGF1,BCKDHB,COL1A1,COL2A1,DIS3L2,ELANE,ENPP1,FGFR2,FN1,GNAS,HGSNAT,KCNAB2,KRAS,LRP5,MGP,PIK3CA,PTEN	2.45802461958146e-09
HP:0100724	Hypercoagulability	Distrofia de Retina	7	926	0.00755939524838013	0.0146066681993807	AGGF1,DLD,F5,HBB,HRG,SPTA1,SPTB	0.0343958152853213
HP:0100658	Cellulitis	Distrofia de Retina	8	926	0.00863930885529158	1.45292579692195e-28	AGGF1,BLNK,COL1A1,ELANE,IGLL1,KIF11,PIK3R1,SLC35A1	7.14126736034279e-28
HP:0001558	Decreased fetal movement	Distrofia de Retina	39	926	0.0421166306695464	1.58805780996678e-126	AGRN,ALG8,AP3B2,BIN1,CACNA1A,CAMKMT,CNTN1,COL6A1,COL6A2,COL6A3,COX15,CRPPA,DNM2,ERCC5,GABRA2,GBA,GBE1,GLE1,MEGF10,MYH7,NEB,OCA2,PEX3,PLOD1,PPP3CA,PREPL,RET,RYR1,SCN3A,SCN8A,SLC25A19,SLC3A1,SMN1,SNRPN,SYNE1,TMCO1,TSFM,VPS13B,WWOX	1.92413516044812e-125
HP:0001612	Weak cry	Distrofia de Retina	13	926	0.0140388768898488	1.5755244490542e-198	AGRN,ASAH1,ASPA,COLQ,FKTN,LAMA2,LAMA3,MYH7,NIPBL,OPA1,RYR1,SNRPN,VPS13B	2.85512430593822e-197
HP:0005957	Breathing dysregulation	Distrofia de Retina	12	926	0.0129589632829374	0	AHI1,CEP290,ELP1,GATA4,GATA6,INPP5E,MYH6,NKX2-5,RET,RPGRIP1L,TLL1,TMEM67	0
HP:0000864	Abnormality of the hypothalamus-pituitary axis	Distrofia de Retina	27	926	0.0291576673866091	4.08901869721718e-310	AHI1,ARL13B,ARL3,BRAF,BRCA1,BRCA2,CEP290,CPLANE1,DCC,DISP1,FANCA,FANCD2,FANCI,FANCL,FANCM,FOXC1,INPP5E,NPHP1,PTCH1,PTPN22,RPGRIP1L,STIL,TGIF1,TMEM237,TMEM67,TP63,WDR11	1.52169910089296e-308
HP:0009088	Speech articulation difficulties	Distrofia de Retina	10	926	0.0107991360691145	1.36384561690134e-212	ALDH4A1,FOXP1,GALT,GNAI3,NECTIN1,NF1,OCA2,PLCB4,SNRPN,TP63	2.78652378982588e-211
HP:0001557	Prenatal movement abnormality	Distrofia de Retina	3	926	0.00323974082073434	1.46253878483493e-77	ALDH7A1,NIPBL,SMC3	1.23398009214413e-76
HP:0012400	Abnormal aldolase level	Distrofia de Retina	9	926	0.00971922246220302	0.000329197653214254	ALDOA,B3GALNT2,COL4A1,CRPPA,FKTN,LPIN1,POMGNT1,RXYLT1,SIL1	0.000850121325029127
HP:0003199	Decreased muscle mass	Distrofia de Retina	13	926	0.0140388768898488	1.38725448336978e-135	ALDOA,AP4E1,ATP6V0A2,COLQ,FBN1,FUCA1,GYG1,HSD17B4,PLOD1,POLG,PTEN,RAB18,SNRPN	1.7956759896538e-134
HP:0012345	Abnormal glycosylation	Distrofia de Retina	12	926	0.0129589632829374	0.000917958892488793	ALG1,ALG6,ALG8,ATP6V0A2,COG6,DPM1,FKTN,GALNT2,MPDU1,PMM2,RFT1,STT3B	0.002313212009609
HP:0003256	Abnormality of the coagulation cascade	Distrofia de Retina	41	926	0.0442764578833693	9.82905336702661e-16	ALG6,ALG8,AMACR,ATP6V0A2,BRAF,CACNA1S,CFH,CFI,DPM1,F10,F12,F13A1,F13B,F5,FGB,FGG,FIP1L1,HADH,LMAN1,LYST,MPDU1,MTTP,NBAS,NBEAL2,NPM1,NR1H4,NUMA1,PMM2,PRKAR1A,RFT1,RYR1,SLC25A15,SLC7A7,SOS1,SPTA1,SPTB,STAT5B,TBL1XR1,TCF4,TRMU,VWF	3.7862749014572e-15
HP:0008373	Puberty and gonadal disorders	Distrofia de Retina	2	926	0.00215982721382289	0.00113415925126796	ALG6,HACE1	0.00283403822499092
HP:0003186	Inverted nipples	Distrofia de Retina	5	926	0.00539956803455724	1.93761755385457e-15	ALG8,DPM1,PEX3,PMM2,RFT1	7.40916510501454e-15
HP:0011024	Abnormality of the gastrointestinal tract	Distrofia de Retina	5	926	0.00539956803455724	2.08487135764469e-207	ALG8,ANTXR2,ATM,GYS2,RB1	4.09893576352032e-206
HP:0000873	Diabetes insipidus	Distrofia de Retina	9	926	0.00971922246220302	4.63216186914919e-319	ALMS1,DISP1,PTCH1,PTEN,PTPN22,ROBO1,STIL,TGIF1,WDR11	1.78767130349399e-317
HP:0000858	Irregular menstruation	Distrofia de Retina	9	926	0.00971922246220302	6.94089891885731e-60	ALMS1,BBS9,CDH23,CYB5A,ERCC8,GNAS,NR3C1,PDE11A,PRKAR1A	5.02251157878425e-59
HP:0000771	Gynecomastia	Distrofia de Retina	22	926	0.0237580993520518	5.60011516382358e-292	ALMS1,CDH23,CYB5A,CYP19A1,DCC,GATA4,HPGD,ITGA3,LEPR,LHB,PIK3CA,PRKAR1A,PTEN,RBM28,RSPO1,SEC23B,SEMA3E,SLCO2A1,SMCHD1,WDR11,WT1,WWOX	1.74188656737438e-290
HP:0001892	Abnormal bleeding	Distrofia de Retina	21	926	0.0226781857451404	5.52542726843998e-272	AMN,ARFGEF2,CD36,COG6,F12,FGB,FGG,HPS3,JAK2,KRAS,LMAN1,MPL,MTTP,RFT1,RRAS2,RYR1,SLC7A7,SOS1,TMTC3,UROD,VPS33B	1.51513031939854e-270
HP:0012145	Abnormality of multiple cell lineages in the bone marrow	Distrofia de Retina	40	926	0.0431965442764579	1.82873115751047e-145	AMN,ASXL1,ATR,BRCA2,CIITA,COG6,ELANE,FANCA,FANCD2,FANCI,FANCL,FIP1L1,GBA,GNAS,IFNG,ITCH,JAK2,KRAS,LBR,LMBRD1,LRBA,LYST,MMAA,MPL,MTRR,NBEAL2,NBN,NPM1,NUMA1,PCCA,PRKAR1A,RAB27A,RECQL4,RFXANK,SH2B3,STAT5B,TALDO1,TBL1XR1,WRAP53,XRCC4	2.49089917140642e-144
HP:0003750	Increased muscle fatiguability	Distrofia de Retina	4	926	0.00431965442764579	5.9830483090223e-06	AMPD1,CACNA1S,DBH,DMGDH	1.67364733906073e-05
HP:0045014	Hypolipidemia	Distrofia de Retina	4	926	0.00431965442764579	4.67536798248559e-115	ANGPTL3,GALNT2,MTTP,SAR1B	5.29536243233694e-114
HP:0012548	Fatty replacement of skeletal muscle	Distrofia de Retina	6	926	0.00647948164146868	8.55752539983576e-30	ANO5,CRPPA,FKTN,MYH14,NEB,PNPLA2	4.34972754469701e-29
HP:0009025	Increased connective tissue	Distrofia de Retina	7	926	0.00755939524838013	3.52232710422244e-07	ANO5,DYSF,LAMA2,NEB,PLEC,RYR1,TNXB	1.03533563966143e-06
HP:0100763	Abnormality of the lymphatic system	Distrofia de Retina	17	926	0.0183585313174946	1.01785301256118e-146	ANTXR2,ATM,CDK4,CDKN1A,DCLRE1C,ERCC8,JMJD1C,MITF,NF1,PEX5,PIK3CA,PTEN,RASA1,SEMA3E,TFAP2A,TP63,TTC37	1.39553005143257e-145
HP:0000834	Abnormality of the adrenal glands	Distrofia de Retina	2	926	0.00215982721382289	2.60334978301718e-39	ANTXR2,SEMA3E	1.52398341230556e-38
HP:0011869	Abnormal platelet function	Distrofia de Retina	12	926	0.0129589632829374	2.52349684176571e-111	AP3B1,BLOC1S5,EPHB2,GNAS,ITGB3,KRAS,LYST,NBEAL2,RRAS2,SH2B3,SOS1,VWF	2.79732309480837e-110
HP:0012447	Abnormal myelination	Distrofia de Retina	38	926	0.041036717062635	2.32754123058099e-276	AP3B2,ASNS,ASXL1,CACNA1A,CYB5A,CYB5R3,DPM1,EGF,FOXG1,GABRA2,GCDH,GFM1,HACE1,HNRNPU,LAMB1,MTHFS,MTRR,NR2F1,OCA2,PIGN,PIGV,PMM2,PNKP,PNPT1,PPP3CA,RAB3GAP2,SCN2A,SCN3A,SCN8A,SEPSECS,SLC2A1,TAF2,TBCE,TMTC3,TRAPPC2L,TRRAP,UBE3A,WWOX	6.73693878407053e-275
HP:0030731	Carcinoma	Distrofia de Retina	5	926	0.00539956803455724	1.33092303981006e-70	APC,NLRP1,PTEN,RSPO1,SMARCA4	1.07090487064253e-69
HP:0004370	Abnormality of temperature regulation	Distrofia de Retina	5	926	0.00539956803455724	6.87152350746177e-109	ARL3,CLCN6,ERCC8,MADD,SNX10	7.49751570133525e-108
HP:0009806	Nephrogenic diabetes insipidus	Distrofia de Retina	2	926	0.00215982721382289	2.79044691751102e-23	ARL6,VPS33B	1.22685472069472e-22
HP:0100326	Immunologic hypersensitivity	Distrofia de Retina	8	926	0.00863930885529158	6.84253916460698e-05	ARL6,ASXL1,CDH3,FOXP1,IFNGR1,IL10,IL23R,MEFV	0.000182818610500525
HP:0002483	Bulbar signs	Distrofia de Retina	7	926	0.00755939524838013	0.0193116084685684	ARSA,CACNA1A,FIG4,GBA,GSN,NEB,RYR1	0.0453213874420006
HP:0002898	Embryonal neoplasm	Distrofia de Retina	16	926	0.0172786177105832	8.92675486937364e-26	ASXL1,BRCA2,BUB1,CDC73,CEP57,CHEK2,DIS3L2,GATA4,KCNQ1,NSD1,PAX6,PIK3CA,PTCH1,RB1,WT1,WWOX	4.17115631116024e-25
HP:0002558	Supernumerary nipple	Distrofia de Retina	11	926	0.0118790496760259	1.75003392417853e-09	ASXL1,COLEC11,KRAS,MASP1,PIGV,TCF4,TFAP2A,TMCO1,TP63,TRRAP,ZEB2	5.57656070028755e-09
HP:0011034	Amyloidosis	Distrofia de Retina	1	926	0.00107991360691145	0.00227130534737275	ASXL1	0.00556870628697037
HP:0005561	Abnormality of bone marrow cell morphology	Distrofia de Retina	6	926	0.00647948164146868	2.58099574619637e-17	ATM,DYNC2LI1,EVC,HPGD,SLCO2A1,TNFRSF1B	1.03837743920333e-16
HP:0003220	Abnormality of chromosome stability	Distrofia de Retina	13	926	0.0140388768898488	3.45025495150684e-41	ATM,BRCA1,BRCA2,FANCA,FANCD2,FANCI,FANCL,FANCM,MCM4,NBN,PIK3CA,RAD50,XRCC4	2.09021259271519e-40
HP:0002861	Melanoma	Distrofia de Retina	23	926	0.0248380129589633	5.94477380498367e-44	BARD1,BRAF,BRCA1,BRCA2,CDK4,CHEK2,COL7A1,CTSC,ERCC2,ERCC5,KRAS,MITF,MMP1,MRE11,NBN,OCA2,PIK3CA,PTEN,RAD50,RECQL4,SEC23B,WRN,XPC	3.75421473017757e-43
HP:0000465	Webbed neck	Distrofia de Retina	16	926	0.0172786177105832	4.12609397939724e-05	BRAF,CHN1,FBXW11,GLE1,IGF1R,KRAS,NF1,RB1,RPL35A,RPL5,RRAS2,RYR1,SEMA3E,SLC35A1,SOS1,TBX2	0.000111095346938809
HP:0004361	Abnormality of circulating leptin level	Distrofia de Retina	3	926	0.00323974082073434	5.41812433705486e-05	BSCL2,CIDEC,LEPR	0.00014513330486404
HP:0000360	Tinnitus	Distrofia de Retina	17	926	0.0183585313174946	8.99965026101287e-158	CACNA1A,CLCNKB,COCH,CYP11B2,DNMT3A,GRM1,JAK2,KIF1B,MAX,MPL,NAGA,NF1,PIK3CA,PRRT2,RET,SCN1A,TMC1	1.30244938499658e-156
HP:0004420	Arterial thrombosis	Distrofia de Retina	11	926	0.0118790496760259	7.23457322239291e-251	CBS,IFNGR1,IL10,IL23R,JAK2,MEFV,MPL,MYH7,PTEN,PTPN22,SH2B3	1.73297133281228e-249
HP:0001907	Thromboembolism	Distrofia de Retina	12	926	0.0129589632829374	2.02712112367027e-17	CBS,EPOR,F12,F13A1,HABP2,HRG,JAK2,KCNQ1,MTRR,NPPA,PRKAR1A,TLL1	8.17121938438848e-17
HP:0030853	Heterotaxy	Distrofia de Retina	1	926	0.00107991360691145	7.56146777612069e-114	CCDC39	8.47209615345996e-113
HP:0002916	Abnormality of chromosome segregation	Distrofia de Retina	4	926	0.00431965442764579	5.03267435635696e-13	CDAN1,LBR,NKX2-5,SEC23B	1.81454902398753e-12
HP:0100829	Galactorrhea	Distrofia de Retina	3	926	0.00323974082073434	1.51452336760685e-24	CDH23,CDKN1A,IRF4	6.89141200456916e-24
HP:0003144	Increased serum serotonin	Distrofia de Retina	2	926	0.00215982721382289	6.15184943572556e-47	CDKN1A,SNRPN	4.03158937863273e-46
HP:0000372	Abnormality of the auditory canal	Distrofia de Retina	16	926	0.0172786177105832	3.96646754947195e-93	CDT1,CHN1,COL2A1,COL7A1,DDR2,EDN1,EDNRA,FGFR2,FKTN,GNAI3,NIPBL,ORC4,SMC3,SMCHD1,TP63,VPS37A	3.791797418853e-92
HP:0003187	Breast hypoplasia	Distrofia de Retina	7	926	0.00755939524838013	0	CDT1,DCC,ESR1,NIN,ORC4,TP63,WDR11	0
HP:0100783	Breast aplasia	Distrofia de Retina	3	926	0.00323974082073434	1.19058077898278e-127	CDT1,ORC4,TP63	1.45097680900591e-126
HP:0030680	Abnormality of cardiovascular system morphology	Distrofia de Retina	33	926	0.0356371490280778	0	CEP290,CHN1,CHRNA7,DCC,DYNC2H1,FANCA,FANCI,FGFR2,FOXC1,GATA4,GATA6,IFT80,KRAS,LRP5,NPHP1,NSD1,PEX5,RB1,RECQL4,RET,RPGRIP1L,SMARCA2,SMARCA4,SMCHD1,STRA6,TBX6,TMEM237,TRIP11,UBE3A,WDR11,WDR35,WT1,WWOX	0
HP:0005521	Disseminated intravascular coagulation	Distrofia de Retina	11	926	0.0118790496760259	1.28675284162454e-66	CFH,CFI,FIP1L1,LPIN1,NPM1,NUMA1,PRKAR1A,RASA1,RYR1,STAT5B,TBL1XR1	9.96874692173064e-66
HP:0012288	Neoplasm of head and neck	Distrofia de Retina	2	926	0.00215982721382289	1.35934080087445e-09	CHEK2,HABP2	4.35825573695747e-09
HP:0000951	Abnormality of the skin	Distrofia de Retina	11	926	0.0118790496760259	5.28666523547049e-171	COL7A1,CTSC,EPCAM,FIG4,GLMN,IFNG,LEMD3,PIK3R1,PTEN,TAT,TGFBR1	7.92619449692122e-170
HP:0000152	Abnormality of head or neck	Distrofia de Retina	6	926	0.00647948164146868	4.39948747002969e-198	COL7A1,ELP1,ERCC8,KIF21A,RETREG1,SCN9A	7.83635204063408e-197
HP:0001965	Abnormal scalp morphology	Distrofia de Retina	5	926	0.00539956803455724	1.46669824231308e-58	COL7A1,FGFR2,HPGD,MMP1,SLCO2A1	1.04678052636317e-57
HP:0008214	Decreased serum estradiol	Distrofia de Retina	8	926	0.00863930885529158	2.24291761083106e-14	CTDP1,CYB5A,GATA4,LEPR,PIK3CA,POLR3H,WT1,WWOX	8.34685768030702e-14
HP:0003271	Visceromegaly	Distrofia de Retina	2	926	0.00215982721382289	0.000661218153609431	CTSA,DIS3L2	0.00167841489905244
HP:0003117	Abnormal circulating hormone concentration	Distrofia de Retina	10	926	0.0107991360691145	4.60149413566882e-152	CYB5A,GATA4,LEPR,LHB,NR3C1,PIK3CA,RBM28,WDR11,WT1,WWOX	6.56816012242043e-151
HP:0008187	Absence of secondary sex characteristics	Distrofia de Retina	7	926	0.00755939524838013	1.05402175467996e-67	CYB5A,ESR1,GATA4,LEPR,WDR11,WT1,WWOX	8.32038385133726e-67
HP:0008072	Maternal virilization in pregnancy	Distrofia de Retina	1	926	0.00107991360691145	1.60503899519009e-06	CYP19A1	4.63925279608342e-06
HP:0000464	Abnormality of the neck	Distrofia de Retina	7	926	0.00755939524838013	2.4978862531135e-44	DDR2,KCNAB2,KRT5,MEFV,PTCH1,PTCH2,PTEN	1.59192506161729e-43
HP:0003549	Abnormality of connective tissue	Distrofia de Retina	10	926	0.0107991360691145	5.83642303311556e-06	DIS3L2,GATA4,GATA6,HPGD,NIPBL,PIGN,SMC3,STRA6,TRRAP,WT1	1.63482602164151e-05
HP:0006709	Aplasia/Hypoplasia of the nipples	Distrofia de Retina	7	926	0.00755939524838013	1.70039069143201e-240	EDARADD,FIG4,NIPBL,PIGN,SMC3,TP63,UBR1	3.81033785047775e-239
HP:0002046	Heat intolerance	Distrofia de Retina	5	926	0.00539956803455724	8.3519633706248e-225	EDARADD,KRT14,KRT5,OCA2,UBE3A	1.79438058395692e-223
HP:0008233	Decreased circulating progesterone	Distrofia de Retina	1	926	0.00107991360691145	9.99479979756699e-06	EIF2B4	2.75518026165736e-05
HP:0012757	Abnormal neuron morphology	Distrofia de Retina	16	926	0.0172786177105832	9.53640970508139e-46	ERBB4,FIG4,GBE1,GLE1,NEK1,PIK3CA,POLR3B,PON3,PRKAR1B,PRPH,RBM28,SCP2,SOD1,TAF15,TBK1,TRPM7	6.19123919794069e-45
